Price,Close,High,Low,Open,Volume,RSI,SMA20,SMA50,MACD,Signal_Line,Signal,Position,Return,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return
2025-06-17,951.9327392578124,957.852719054467,946.75275693574,955.5834055099792,16978736.0,51.68602030815816,956.8043823242188,,1.23507241401569,2.44564366558922,0,-1,-0.0029968013237066105,0.0029968013237066105,1.0012972948125733,1.0251505124790674
2025-06-18,954.0540771484376,955.2380851367438,945.7167603313338,945.7167603313338,18433816.0,51.76601602080035,956.9795135498048,,0.8757131911117995,2.131657570693736,0,-1,0.00222845354838741,-0.00222845354838741,1.0035286393221892,1.0228660121819022
2025-06-19,954.7447509765624,960.4180648603084,949.9593979158448,954.0540746334422,16876220.0,47.09444967017948,957.359378051758,,0.6392807926059731,1.8331822150761836,0,-1,0.0007239357230033328,-0.0007239357230033328,1.0042551295532514,1.0221255229358377
2025-06-20,969.2486572265624,971.8140179089728,952.9193918485256,952.9193918485256,32900408.0,58.96590819384744,958.1265075683592,,1.603763249131589,1.7872984218872645,0,-1,0.015191396690230174,-0.015191396690230174,1.0195111676044932,1.0065980086497104
2025-06-23,961.2073974609376,965.8940481289004,957.9514206200562,961.2073974609376,11739518.0,56.24346022126856,958.3287780761718,,1.699667377651508,1.7697722130401132,0,-1,-0.008296384736435236,0.008296384736435236,1.011052910714954,1.014949133004398
2025-06-24,967.3740234375,976.3033140635844,964.7593416610488,969.3966711141704,22625322.0,55.28152826692799,959.182241821289,,2.247361090403956,1.865289988512882,0,-1,0.006415499914848466,-0.006415499914848466,1.0175393205775531,1.008437726928033
2025-06-25,976.8953247070312,977.7833457795492,968.854054817417,969.8900392545884,18405932.0,57.75078578658575,960.5808380126952,,3.410388902917475,2.174309771393801,0,-1,0.009842419828163251,-0.009842419828163251,1.0275543697623415,0.9985122594490485
2025-06-26,997.4179077148438,1000.03252920567,976.7966216145232,977.4872979366618,50084830.0,60.2668090717207,962.9068969726562,,5.919857327556429,2.9234192826263268,0,-1,0.02100796522285253,-0.02100796522285253,1.0491411962268988,0.977535548627951
2025-06-27,1004.9491577148438,1007.393088107433,994.2258430942326,1004.0015037809444,28213384.0,62.927731456606494,965.1803192138672,,8.41928578187401,4.022592582475864,0,-1,0.0075507467248654425,-0.0075507467248654425,1.0570629956782305,0.9701544252857089
2025-06-30,998.2658081054688,1004.400566128524,995.2732550959096,1003.2533964547342,13649020.0,62.94244294847187,967.4353088378906,957.6226733398438,9.74843647346188,5.167761360673067,0,-1,-0.006650435554941159,0.006650435554941159,1.0500330663479593,0.9766063747694124
2025-07-01,1003.5526123046876,1005.4977838847652,999.5126780283082,1000.0114368496796,14389386.0,68.99046747861541,970.1396362304688,958.679737548828,11.100439926085642,6.354297073755582,0,-1,0.005295988459478762,-0.005295988459478762,1.0555940293494093,0.9714342786791802
2025-07-02,990.5350341796876,1007.4429706558584,986.4950998423908,1007.4429706558584,18878250.0,63.42015989249825,971.7836212158204,959.1350646972656,10.994761869866808,7.282390032977828,0,-1,-0.012971495430722624,0.012971495430722624,1.0419013962210053,0.9840352339863144
2025-07-03,991.0836181640624,1001.507689459166,989.6871300276722,994.9739612315548,16860506.0,71.20425072232307,973.247836303711,959.9743225097656,10.830430925772475,7.991998211536758,-1,-1,0.0005538259278523583,-0.0005538259278523583,1.042478428228498,0.9834902497598126
2025-07-04,992.1809692382812,999.2633203019868,987.5424877454124,991.0836632772651,7863944.0,68.96004179865467,974.04912109375,960.9055798339843,10.66579587377555,8.526757743984517,0,-1,0.001107223501737975,-0.001107223501737975,1.0436326848442874,0.9824013062415484
2025-07-07,991.2332763671876,996.7196233059492,989.4377568185034,992.031278290642,11349426.0,70.3249979482455,974.7980834960938,961.8731372070312,10.339661334787252,8.889338462145064,-1,-1,-0.0009551613067333431,0.0009551613067333431,1.042635847285282,0.9833396579569547
2025-07-08,998.2159423828124,1000.0114620081928,986.0462146584524,986.0462146584524,15224316.0,71.74569532920837,976.2316436767578,962.8915478515624,10.52333371335294,9.21613751238664,-1,-1,0.007044422521019333,-0.007044422521019333,1.0499806147291204,0.9764125979246312
2025-07-09,1003.1036987304688,1004.4005203490876,996.5699704674604,1001.0089360727128,13861428.0,72.86719236583693,978.2771270751952,964.1201928710938,10.937219032402822,9.560353816389876,-1,-1,0.0048964919714555855,-0.0048964919714555855,1.0551218363793256,0.9716316014780652
2025-07-10,1000.6099243164062,1005.9965439473216,997.5176439735465,1005.4977851253348,17030310.0,66.72983214263171,980.3705871582032,965.1391235351564,10.937913912788645,9.83586583566963,0,-1,-0.0024860584376457107,0.0024860584376457107,1.0524987418352505,0.9740471344192028
2025-07-11,989.3878784179688,999.91173856234,987.9913902076418,996.5201541247732,12516922.0,64.5396069816465,982.5393432617188,965.9641979980468,9.918603802528423,9.85241342904139,0,-1,-0.011215205471906686,0.011215205471906686,1.040694752186645,0.9849712731710359
2025-07-14,989.0387573242188,991.8816582943851,982.8541356715338,989.0387573242188,13088850.0,61.89169613166014,984.251577758789,966.6352783203124,8.97911637758068,9.677754018749248,0,-1,-0.00035286574796955517,0.00035286574796955517,1.0403275266545067,0.985318835796072
2025-07-15,995.2732543945312,999.31318877786,984.0511806165924,984.0511806165924,14498168.0,60.46518902431398,986.418603515625,967.4813696289062,8.63806341632062,9.469815898263525,0,-1,0.006303592274967684,-0.006303592274967684,1.0468853272149623,0.9791077875943678
2025-07-16,995.6722412109376,1008.8394251469304,993.826797075495,1006.4952830829004,17994612.0,48.71038053265743,988.49951171875,968.1982934570312,8.304245219305244,9.236701762471869,0,-1,0.00040088168213570086,-0.00040088168213570086,1.0473050043659393,0.9787152812174847
2025-07-17,990.98388671875,999.9116815490104,988.8890631972324,999.5126501495852,22529158.0,39.23073664591012,990.3114685058594,968.9901696777343,7.5740716841552285,8.904175746808539,0,-1,-0.004708732751739331,0.004708732751739331,1.0423735249908208,0.9833237899167812
2025-07-18,976.2705078125,996.021344530824,974.0759568696542,990.9838927216936,16129446.0,34.90755763356253,990.6625610351564,969.8706042480468,5.741967358577085,8.271734069162248,0,-1,-0.014847243334064175,0.014847243334064175,1.0268971516202958,0.9979234375018496
2025-07-21,997.7670288085938,998.5151670456409,985.7968170158388,986.6446826643672,22309078.0,46.75252953320367,992.4905426025392,970.514970703125,5.955944648954073,7.808576185120613,0,-1,0.02201902118733501,-0.02201902118733501,1.0495084217590371,0.9759501401881582
2025-07-22,1001.058837890625,1006.4953213272488,999.0139388595042,1004.051390877723,14836814.0,56.63104409466256,994.1747833251952,971.5665600585936,6.318311117771032,7.510523171650697,0,-1,0.0032991760470997278,-0.0032991760470997278,1.052970934805334,0.9727303088624858
2025-07-23,1009.6375122070312,1012.3806857402004,999.0139248978444,1003.0039954915454,13634916.0,60.61646586485645,995.8118927001954,972.9081213378906,7.214551617238158,7.45132886076819,0,-1,0.008569600498690821,-0.008569600498690821,1.0619944750533488,0.9643943987225662
2025-07-24,1004.5999755859376,1016.320807677376,1001.7072110041944,1016.320807677376,19107176.0,56.79950916735569,996.17099609375,973.9200256347656,7.432662459101039,7.44759558043476,0,-1,-0.004989450728788536,0.004989450728788536,1.0566957059458244,0.9692061970581122
2025-07-25,1002.2999877929688,1007.5,999.5,1007.5,9306598.0,55.97070315973041,996.0385375976564,974.87705078125,7.335369506032066,7.425150365554222,0,-1,-0.0022894563496553832,0.0022894563496553832,1.054276447252193,0.9714251523400922
2025-07-28,1004.25,1010.7000122070312,1000.25,1001.5,12059580.0,53.44242841244797,996.3377471923828,975.8336096191406,7.331105408250778,7.406341374093534,0,-1,0.0019455374945429593,-0.0019455374945429593,1.0563275816099358,0.9695352082830724
2025-07-29,1010.7999877929688,1013.25,998.1500244140624,999.9500122070312,19895696.0,54.30900621118012,996.7001159667968,977.1559936523438,7.766725378849742,7.478418175044776,0,-1,0.0065222681533172455,-0.0065222681533172455,1.0632172333549408,0.9632116396705679
2025-07-30,1012.9000244140624,1016.2999877929688,1008.5,1014.0,15154036.0,56.91146598824609,997.8183654785156,978.4029650878906,8.187037674547582,7.6201420749453375,0,-1,0.0020775985817718112,-0.0020775985817718112,1.0654261719710743,0.9612104725340422
2025-07-31,1009.0999755859376,1015.7000122070312,1004.0,1007.2999877929688,22183032.0,62.09495062223113,998.7191833496094,979.6420153808592,8.119904806830277,7.720094621322326,0,-1,-0.0037516524203097257,0.0037516524203097257,1.0614290632943377,0.9648166001297516
2025-08-01,1006.0999755859376,1014.1500244140624,1004.6500244140624,1007.0,11317258.0,60.13860971007888,999.4151336669922,980.6858935546876,7.735457063669173,7.723167109791696,0,-1,-0.0029729462616011615,0.0029729462616011615,1.058273491728662,0.9676849480342382
2025-08-04,996.0,1009.25,994.0499877929688,1005.0499877929688,13933946.0,50.41289872451156,999.6534698486328,981.4626538085936,6.540402151902072,7.4866141182137715,0,-1,-0.010038739519952267,0.010038739519952267,1.0476497598043277,0.9773992851649324
2025-08-05,988.7999877929688,997.2000122070312,982.75,993.25,23978058.0,46.37563598181165,999.1826721191406,982.23255859375,4.955211123011964,6.980333519173411,0,-1,-0.007228927918706107,0.007228927918706107,1.0400763752066524,0.9844648341451845
2025-08-06,992.6500244140624,994.0,985.0,985.5499877929688,14080204.0,50.88654509175272,998.6599884033204,983.1070910644532,3.963908125729404,6.37704844048461,0,-1,0.0038936454982032576,-0.0038936454982032576,1.0441260639027634,0.9806316770755756
